objectSid;userPrincipalName;displayName;givenName;manager ;CN;DN;OU;SN;department;title;mail;mobilePhone;userAccountControl
01050000000000051500000007E53B2B782E9D139522F87F520C0000;test_user_name@horns_and_hooves.ru;Александр Александрович;Александр Александрович;CN=Илья Викторович,OU=Отдел инфраструктуры и администрирования,OU=Служба разработки и администрирования,OU=Дирекция информационных технологий,OU=ОАО Рога и Копыта,OU=FL,DC=Рога и Копыта,DC=ru;Александр Александрович;CN=Александр Александрович,OU=Группа круглосуточного администрирования инфраструктуры,OU=Отдел инфраструктуры и администрирования,OU=Служба разработки и администрирования,OU=Дирекция информационных технологий,OU=ОАО Рога и Копыта,OU=FL,DC=Рога и Копыта,DC=ru;;Ищенко;Группа круглосуточного администрирования инфраструктуры;Ведущий специалист группы инфраструктуры и администрирования;test_user_name@horns_and_hooves.ru;+7 (000) 123-45-67;66048
01050000000000051500000007E53B2B782E9D139522F87FE8030000;;TsInternetUser;;;TsInternetUser;CN=TsInternetUser,CN=Users,DC=Рога и Копыта,DC=ru;;;;;;;66080
01050000000000051500000007E53B2B782E9D139522F87FC01B0000;;Internet Guest Account;;;IUSR_FILE-SRV2;CN=IUSR_FILE-SRV2,CN=Users,DC=Рога и Копыта,DC=ru;;;;;;;66080
01050000000000051500000007E53B2B782E9D139522F87F85400000;test_user_name@horns_and_hooves.ru;Валерия;Валерия;;Макарова Валерия;CN=Валерия,OU=Users,OU=Fired,DC=Рога и Копыта,DC=ru;;Макарова;Аутсорсеры;;;;66050
01050000000000051500000007E53B2B782E9D139522F87F76400000;test_user_name@horns_and_hooves.ru;Алексей Борисович;Алексей Борисович;;Алексей Борисович;CN=Алексей Борисович,OU=Users,OU=Fired,DC=Рога и Копыта,DC=ru;;Дианов;Аутсорсеры;;d_alex@viatau.ru;;66050
01050000000000051500000007E53B2B782E9D139522F87F56400000;test_user_name@horns_and_hooves.ru;Алена Игоревна;Алена Игоревна;CN=Дмитрий Александрович,OU=Дизайн-студия по каталогу,OU=Департамент маркетинга и планирования,OU=ОАО Рога и Копыта,OU=FL,DC=Рога и Копыта,DC=ru;Алена Игоревна;CN=Алена Игоревна,OU=Дизайн-студия по каталогу,OU=Департамент маркетинга и планирования,OU=ОАО Рога и Копыта,OU=FL,DC=Рога и Копыта,DC=ru;;Ионова;Дизайн-студия по каталогу;Редактор каталога;test_user_name@horns_and_hooves.ru;;66048
01050000000000051500000007E53B2B782E9D139522F87F78400000;test_user_name@horns_and_hooves.ru;Александр Петрович;Александр Петрович;;Александр Петрович;CN=Александр Петрович,OU=ЧОП Эллипс FL,OU=FL,DC=Рога и Копыта,DC=ru;;Самохин;ЧОП Эллипс FL;Оперативный дежурный;test_user_name@horns_and_hooves.ru;;66048
01050000000000051500000007E53B2B782E9D139522F87F4E400000;test_user_name@horns_and_hooves.ru;Евгений;Евгений;;Гурлев Евгений;CN=Евгений,OU=Users,OU=Fired,DC=Рога и Копыта,DC=ru;;Гурлев;Аутсорсеры;;;;66050
01050000000000051500000007E53B2B782E9D139522F87F51400000;test_user_name@horns_and_hooves.ru;Екатерина Андреевна;Екатерина Андреевна;CN=Ирина Борисовна,OU=Департамент косметики и парфюмерии,OU=ОАО Рога и Копыта,OU=FL,DC=Рога и Копыта,DC=ru;Екатерина Андреевна;CN=Екатерина Андреевна,OU=Цех Декоративная косметика,OU=Производство,OU=Департамент косметики и парфюмерии,OU=ОАО Рога и Копыта,OU=FL,DC=Рога и Копыта,DC=ru;;Сазонова;Декоративная косметика;Начальник цеха декоративной косметики;test_user_name@horns_and_hooves.ru;;66048
01050000000000051500000007E53B2B782E9D139522F87F2B400000;test_user_name@horns_and_hooves.ru;Олег;Олег;CN=Александр Владимирович,OU=Группа разработки ERP,OU=Отдел разработки программного обеспечения,OU=Служба разработки и администрирования,OU=Дирекция информационных технологий,OU=ОАО Рога и Копыта,OU=FL,DC=Рога и Копыта,DC=ru;Кривицкий Олег;CN=Олег,OU=ИП Кривицкий,OU=Аутсорсеры,OU=FL,DC=Рога и Копыта,DC=ru;;Кривицкий;ИП Кривицкий;;test_user_name@horns_and_hooves.ru;;66048
01050000000000051500000007E53B2B782E9D139522F87F41400000;test_user_name@horns_and_hooves.ru;Тимофей;Тимофей;;Полянский Тимофей;CN=Тимофей,OU=Users,OU=Fired,DC=Рога и Копыта,DC=ru;;Полянский;Аутсорсеры;;;;66050
01050000000000051500000007E53B2B782E9D139522F87F73400000;test_user_name@horns_and_hooves.ru;Алексей;Алексей;;Проценко Алексей;CN=Алексей,OU=Users,OU=Fired,DC=Рога и Копыта,DC=ru;;Проценко;Аутсорсеры;;;;66050
01050000000000051500000007E53B2B782E9D139522F87F3B400000;test_user_name@horns_and_hooves.ru;Татьяна Олеговна;Татьяна Олеговна;CN=Ольга Владимировна,OU=Офис,OU=РРЦ Москва,OU=Дирекция логистики,OU=ОАО Рога и Копыта,OU=FL,DC=Рога и Копыта,DC=ru;Татьяна Олеговна;CN=Татьяна Олеговна,OU=Участок экспедиции,OU=РРЦ Москва,OU=Дирекция логистики,OU=ОАО Рога и Копыта,OU=FL,DC=Рога и Копыта,DC=ru;;Жарова;Участок экспедиции;по логистике;test_user_name@horns_and_hooves.ru;;66048
01050000000000051500000007E53B2B782E9D139522F87F2C400000;test_user_name@horns_and_hooves.ru;Денис;Денис;CN=Александр Владимирович,OU=Группа разработки ERP,OU=Отдел разработки программного обеспечения,OU=Служба разработки и администрирования,OU=Дирекция информационных технологий,OU=ОАО Рога и Копыта,OU=FL,DC=Рога и Копыта,DC=ru;Аврамчук Денис;CN=Денис,OU=ИП Кривицкий,OU=Аутсорсеры,OU=FL,DC=Рога и Копыта,DC=ru;;Аврамчук;ИП Кривицкий;;test_user_name@horns_and_hooves.ru;;66048
01050000000000051500000007E53B2B782E9D139522F87F6C400000;test_user_name@horns_and_hooves.ru;Татьяна Николаевна;Татьяна Николаевна;CN=Евгений Михайлович,OU=Цех Бытовая химия,OU=Производство,OU=Департамент косметики и парфюмерии,OU=ОАО Рога и Копыта,OU=FL,DC=Рога и Копыта,DC=ru;Татьяна Николаевна;CN=Татьяна Николаевна,OU=Цех Бытовая химия,OU=Производство,OU=Департамент косметики и парфюмерии,OU=ОАО Рога и Копыта,OU=FL,DC=Рога и Копыта,DC=ru;;Рузанова;Бытовая химия;Мастер цеха;test_user_name@horns_and_hooves.ru;;66048
01050000000000051500000007E53B2B782E9D139522F87F31400000;test_user_name@horns_and_hooves.ru;Михаил Александрович;Михаил Александрович;CN=Михаил Николаевич,OU=Группа разработки Партнер,OU=Отдел разработки программного обеспечения,OU=Служба разработки и администрирования,OU=Дирекция информационных технологий,OU=ОАО Рога и Копыта,OU=FL,DC=Рога и Копыта,DC=ru;Михаил Александрович;CN=Михаил Александрович,OU=Группа разработки Партнер,OU=Отдел разработки программного обеспечения,OU=Служба разработки и администрирования,OU=Дирекция информационных технологий,OU=ОАО Рога и Копыта,OU=FL,DC=Рога и Копыта,DC=ru;;Капитонов;разработки Партнер;Программист;test_user_name@horns_and_hooves.ru;;66048
01050000000000051500000007E53B2B782E9D139522F87F2D400000;test_user_name@horns_and_hooves.ru;Андрей;Андрей;;Ивлиев Андрей;CN=Андрей,OU=Users,OU=Fired,DC=Рога и Копыта,DC=ru;;Ивлиев;Аутсорсеры;;;;66050
01050000000000051500000007E53B2B782E9D139522F87F77400000;test_user_name@horns_and_hooves.ru;Сергей;Сергей;CN=Александр Владимирович,OU=Группа разработки ERP,OU=Отдел разработки программного обеспечения,OU=Служба разработки и администрирования,OU=Дирекция информационных технологий,OU=ОАО Рога и Копыта,OU=FL,DC=Рога и Копыта,DC=ru;Игнатенко Сергей;CN=Сергей,OU=ИП Кривицкий,OU=Аутсорсеры,OU=FL,DC=Рога и Копыта,DC=ru;;Игнатенко;ИП Кривицкий;;test_user_name@horns_and_hooves.ru;;66048
01050000000000051500000007E53B2B782E9D139522F87F3D400000;test_user_name@horns_and_hooves.ru;Ксения Евгеньевна;Ксения Евгеньевна;;Ксения Евгеньевна;CN=Ксения Евгеньевна,OU=Отдел рекламы и связей с общественностью,OU=Департамент маркетинга и планирования,OU=ОАО Рога и Копыта,OU=FL,DC=Рога и Копыта,DC=ru;;Иншакова;Отдел рекламы и связей с общественностью;Старший менеджер по рекламе;test_user_name@horns_and_hooves.ru;;66048
01050000000000051500000007E53B2B782E9D139522F87F6D080000;test_user_name@horns_and_hooves.ru;Валерий Иванович;Валерий Иванович;CN=Илья Сергеевич,OU=Отдел технической поддержки,OU=Служба Единой IT-Поддержки,OU=Дирекция информационных технологий,OU=ОАО Рога и Копыта,OU=FL,DC=Рога и Копыта,DC=ru;Валерий Иванович;CN=Валерий Иванович,OU=Отдел технической поддержки,OU=Служба Единой IT-Поддержки,OU=Дирекция информационных технологий,OU=ОАО Рога и Копыта,OU=FL,DC=Рога и Копыта,DC=ru;;Тацюк;технической поддержки;Инженер отдела технической поддержки;test_user_name@horns_and_hooves.ru;;66048
01050000000000051500000007E53B2B782E9D139522F87F901C0000;;SpaceGuardSvcAccnt;;;SpaceGuardSvcAccnt;CN=SpaceGuardSvcAccnt,OU=Users,OU=Fired,DC=Рога и Копыта,DC=ru;;;;;;;66050
01050000000000051500000007E53B2B782E9D139522F87F633B0000;;Internet Guest Account;;;IUSR_FL-SRV;CN=IUSR_FL-SRV,CN=Users,DC=Рога и Копыта,DC=ru;;;;;;;66080
01050000000000051500000007E53B2B782E9D139522F87FF53C0000;;Internet Guest Account;;;IUSR_STOL-SRV;CN=IUSR_STOL-SRV,CN=Users,DC=Рога и Копыта,DC=ru;;;;;;;66080
01050000000000051500000007E53B2B782E9D139522F87F9E350000;;Internet Guest Account;;;IUSR_BACKUP-SRV;CN=IUSR_BACKUP-SRV,CN=Users,DC=Рога и Копыта,DC=ru;;;;;;;66080
01050000000000051500000007E53B2B782E9D139522F87F423B0000;;cba_anonymous;;;cba_anonymous;CN=cba_anonymous,OU=Users,OU=Fired,DC=Рога и Копыта,DC=ru;;;;;;;66050
01050000000000051500000007E53B2B782E9D139522F87F372A0000;test_user_name@horns_and_hooves.ru;FarmService;FarmService;;FarmService;CN=FarmService,OU=Point,OU=Cloud,DC=Рога и Копыта,DC=ru;;;;;;;66048
01050000000000051500000007E53B2B782E9D139522F87F09250000;test_user_name@horns_and_hooves.ru;Михаил Владимирович;Михаил Владимирович;CN=Андрей Викторович,OU=Служба разработки и администрирования,OU=Дирекция информационных технологий,OU=ОАО Рога и Копыта,OU=FL,DC=Рога и Копыта,DC=ru;Михаил Владимирович;CN=Михаил Владимирович,OU=Отдел стратегических исследований,OU=Служба разработки и администрирования,OU=Дирекция информационных технологий,OU=ОАО Рога и Копыта,OU=FL,DC=Рога и Копыта,DC=ru;;Маймистов;стратегических исследований;Системный архитектор;test_user_name@horns_and_hooves.ru;+7 (000) 123-45-67;66048
01050000000000051500000007E53B2B782E9D139522F87F380A0000;test_user_name@horns_and_hooves.ru;Алексей Геннадьевич;Алексей Геннадьевич;;Алексей Геннадьевич;CN=Алексей Геннадьевич,OU=ОАО Рога и Копыта,OU=FL,DC=Рога и Копыта,DC=ru;;Нечаев;ОАО Рога и Копыта;Президент;test_user_name@horns_and_hooves.ru;+7 (000) 123-45-67;66048
01050000000000051500000007E53B2B782E9D139522F87FE2210000;test_user_name@horns_and_hooves.ru;Ольга Евгеньевна;Ольга Евгеньевна;;Ольга Евгеньевна;CN=Ольга Евгеньевна,OU=ЧОП Эллипс FL,OU=FL,DC=Рога и Копыта,DC=ru;;Соловьева;ЧОП Эллипс FL;Главный администратор бюро пропусков;test_user_name@horns_and_hooves.ru;;66048
01050000000000051500000007E53B2B782E9D139522F87F24120000;test_user_name@horns_and_hooves.ru;Светлана Борисовна;Светлана Борисовна;CN=Татьяна Вениаминовна,OU=Отдел сервисной поддержки консультантов,OU=Дирекция продаж,OU=ОАО Рога и Копыта,OU=FL,DC=Рога и Копыта,DC=ru;Светлана Борисовна;CN=Светлана Борисовна,OU=Отдел сервисной поддержки консультантов,OU=Дирекция продаж,OU=ОАО Рога и Копыта,OU=FL,DC=Рога и Копыта,DC=ru;;Бреус;Отдел сервисной поддержки консультантов;Координатор по поддержке ИП;test_user_name@horns_and_hooves.ru;+7 (000) 123-45-67;66048
01050000000000051500000007E53B2B782E9D139522F87F76080000;test_user_name@horns_and_hooves.ru;Римма Валерьевна;Римма Валерьевна;;Римма Валерьевна;CN=Римма Валерьевна,OU=Центр научных разработок,OU=ОАО Рога и Копыта,OU=FL,DC=Рога и Копыта,DC=ru;;Корнеева;научных разработок;Руководитель центра/главный косметолог;test_user_name@horns_and_hooves.ru;+7 (000) 123-45-67;66048
01050000000000051500000007E53B2B782E9D139522F87F5E040000;test_user_name@horns_and_hooves.ru;Сергей Владимирович;Сергей Владимирович;CN=Дмитрий Александрович,OU=Отдел разработки программного обеспечения,OU=Служба разработки и администрирования,OU=Дирекция информационных технологий,OU=ОАО Рога и Копыта,OU=FL,DC=Рога и Копыта,DC=ru;Сергей Владимирович;CN=Сергей Владимирович,OU=Группа разработки отчетности,OU=Отдел разработки программного обеспечения,OU=Служба разработки и администрирования,OU=Дирекция информационных технологий,OU=ОАО Рога и Копыта,OU=FL,DC=Рога и Копыта,DC=ru;;Кондратьев;разработки отчетности;Руководитель группы разработки отчетности;test_user_name@horns_and_hooves.ru;+7 (000) 123-45-67;66048
01050000000000051500000007E53B2B782E9D139522F87F500D0000;test_user_name@horns_and_hooves.ru;Геннадий Николаевич;Геннадий Николаевич;;Геннадий Николаевич;CN=Геннадий Николаевич,OU=ОАО Рога и Копыта,OU=FL,DC=Рога и Копыта,DC=ru;;Нечаев;ОАО Рога и Копыта;;test_user_name@horns_and_hooves.ru;+7 (000) 123-45-67;66048
01050000000000051500000007E53B2B782E9D139522F87F61080000;test_user_name@horns_and_hooves.ru;Ирина Федоровна;Ирина Федоровна;CN=Ирина Борисовна,OU=Департамент косметики и парфюмерии,OU=ОАО Рога и Копыта,OU=FL,DC=Рога и Копыта,DC=ru;Ирина Федоровна;CN=Ирина Федоровна,OU=Отдел разработки новых продуктов,OU=Департамент косметики и парфюмерии,OU=ОАО Рога и Копыта,OU=FL,DC=Рога и Копыта,DC=ru;;Вощинина;Отдел разработки новых продуктов;Главный эксперт по парфюмерии;test_user_name@horns_and_hooves.ru;+7 (000) 123-45-67;66048
01050000000000051500000007E53B2B782E9D139522F87FC00D0000;test_user_name@horns_and_hooves.ru;Ирина Борисовна;Ирина Борисовна;CN=Владислав Андреевич,OU=ОАО Рога и Копыта,OU=FL,DC=Рога и Копыта,DC=ru;Ирина Борисовна;CN=Ирина Борисовна,OU=Департамент косметики и парфюмерии,OU=ОАО Рога и Копыта,OU=FL,DC=Рога и Копыта,DC=ru;;Голдыш;Департамент косметики и парфюмерии;Директор департамента косметики и парфюмерии;test_user_name@horns_and_hooves.ru;+7 (000) 123-45-67;66048
01050000000000051500000007E53B2B782E9D139522F87F81290000;test_user_name@horns_and_hooves.ru;Елена Владимировна;Елена Владимировна;;Елена Владимировна;CN=Елена Владимировна,OU=Дирекция развития,OU=ОАО Рога и Копыта,OU=FL,DC=Рога и Копыта,DC=ru;;Баева;Дирекция развития;;test_user_name@horns_and_hooves.ru;+7 (000) 123-45-67;66048
01050000000000051500000007E53B2B782E9D139522F87F4A0C0000;test_user_name@horns_and_hooves.ru;Алла Владимировна;Алла Владимировна;CN=Владислав Андреевич,OU=ОАО Рога и Копыта,OU=FL,DC=Рога и Копыта,DC=ru;Алла Владимировна;CN=Алла Владимировна,OU=Департамент маркетинга и планирования,OU=ОАО Рога и Копыта,OU=FL,DC=Рога и Копыта,DC=ru;;Анникова;Департамент маркетинга и планирования;Исполнительный директор;test_user_name@horns_and_hooves.ru;+7 (000) 123-45-67;66048
01050000000000051500000007E53B2B782E9D139522F87FEF290000;test_user_name@horns_and_hooves.ru;Регина Эдуардовна;Регина Эдуардовна;CN=Андрей Витальевич,OU=Департамент одежды и аксессуаров,OU=ОАО Рога и Копыта,OU=FL,DC=Рога и Копыта,DC=ru;Регина Эдуардовна;CN=Регина Эдуардовна,OU=Отдел нижнего белья и аксессуаров,OU=Департамент одежды и аксессуаров,OU=ОАО Рога и Копыта,OU=FL,DC=Рога и Копыта,DC=ru;;Оленина;Отдел нижнего белья и аксессуаров;Директор направления ""Нижнее белье и аксессуары"";test_user_name@horns_and_hooves.ru;+7 (000) 123-45-67;66048
01050000000000051500000007E53B2B782E9D139522F87F400C0000;test_user_name@horns_and_hooves.ru;Наталья Петровна;Наталья Петровна;CN=Ирина Борисовна,OU=Департамент косметики и парфюмерии,OU=ОАО Рога и Копыта,OU=FL,DC=Рога и Копыта,DC=ru;Наталья Петровна;CN=Наталья Петровна,OU=Отдел производственного планирования,OU=Департамент косметики и парфюмерии,OU=ОАО Рога и Копыта,OU=FL,DC=Рога и Копыта,DC=ru;;Агафонова;производственного планирования;Директор по производственному планированию;test_user_name@horns_and_hooves.ru;+7 (000) 123-45-67;66048
01050000000000051500000007E53B2B782E9D139522F87F68240000;test_user_name@horns_and_hooves.ru;Юлия Ивановна;Юлия Ивановна;CN=Евгения Михайловна,OU=Отдел контроля качеством,OU=Департамент косметики и парфюмерии,OU=ОАО Рога и Копыта,OU=FL,DC=Рога и Копыта,DC=ru;Юлия Ивановна;CN=Юлия Ивановна,OU=Отдел контроля качеством,OU=Департамент косметики и парфюмерии,OU=ОАО Рога и Копыта,OU=FL,DC=Рога и Копыта,DC=ru;;Крупецкова;контроля качеством;Контролер;test_user_name@horns_and_hooves.ru;;66048
01050000000000051500000007E53B2B782E9D139522F87F892A0000;test_user_name@horns_and_hooves.ru;Юрий Викторович;Юрий Викторович;CN=Валерий Викторович,OU=Дирекция информационных технологий,OU=ОАО Рога и Копыта,OU=FL,DC=Рога и Копыта,DC=ru;Юрий Викторович;CN=Юрий Викторович,OU=Служба автоматизации логистики,OU=Дирекция информационных технологий,OU=ОАО Рога и Копыта,OU=FL,DC=Рога и Копыта,DC=ru;;Ефремов;автоматизации логистики;Руководитель службы автоматизации логистики;test_user_name@horns_and_hooves.ru;+7 (000) 123-45-67;66048
01050000000000051500000007E53B2B782E9D139522F87F7C180000;test_user_name@horns_and_hooves.ru;Валерий Викторович;Валерий Викторович;CN=Владислав Андреевич,OU=ОАО Рога и Копыта,OU=FL,DC=Рога и Копыта,DC=ru;Валерий Викторович;CN=Валерий Викторович,OU=Дирекция информационных технологий,OU=ОАО Рога и Копыта,OU=FL,DC=Рога и Копыта,DC=ru;;Капленко;информационных технологий;Директор по информационным технологиям;test_user_name@horns_and_hooves.ru;+7 (000) 123-45-67;66048
01050000000000051500000007E53B2B782E9D139522F87F1A180000;test_user_name@horns_and_hooves.ru;Виталий Анатольевич;Виталий Анатольевич;CN=Алексей Владимирович,OU=Отдел поддержки внутренних разработок,OU=Служба Единой IT-Поддержки,OU=Дирекция информационных технологий,OU=ОАО Рога и Копыта,OU=FL,DC=Рога и Копыта,DC=ru;Виталий Анатольевич;CN=Виталий Анатольевич,OU=Отдел поддержки внутренних разработок,OU=Служба Единой IT-Поддержки,OU=Дирекция информационных технологий,OU=ОАО Рога и Копыта,OU=FL,DC=Рога и Копыта,DC=ru;;Виклушкин;Отдел поддержки внутренних разработок;технический администратор;test_user_name@horns_and_hooves.ru;+7 (000) 123-45-67;66048
01050000000000051500000007E53B2B782E9D139522F87FD82A0000;test_user_name@horns_and_hooves.ru;Алексей Владимирович;Алексей Владимирович;CN=Вячеслав Александрович,OU=Служба Единой IT-Поддержки,OU=Дирекция информационных технологий,OU=ОАО Рога и Копыта,OU=FL,DC=Рога и Копыта,DC=ru;Алексей Владимирович;CN=Алексей Владимирович,OU=Отдел поддержки внутренних разработок,OU=Служба Единой IT-Поддержки,OU=Дирекция информационных технологий,OU=ОАО Рога и Копыта,OU=FL,DC=Рога и Копыта,DC=ru;;Ларькин;Отдел поддержки внутренних разработок;технический администратор;test_user_name@horns_and_hooves.ru;+7 (000) 123-45-67;66048
01050000000000051500000007E53B2B782E9D139522F87F700C0000;test_user_name@horns_and_hooves.ru;Ирина Александровна;Ирина Александровна;CN=Дмитрий Александрович,OU=Финансовая дирекция,OU=ОАО Рога и Копыта,OU=FL,DC=Рога и Копыта,DC=ru;Ирина Александровна;CN=Ирина Александровна,OU=Отдел бюджетирования и финансового анализа,OU=Финансовая дирекция,OU=ОАО Рога и Копыта,OU=FL,DC=Рога и Копыта,DC=ru;;Яппарова;Отдел бюджетирования и финансового анализа;Начальник отдела;test_user_name@horns_and_hooves.ru;+7 (000) 123-45-67;66048
01050000000000051500000007E53B2B782E9D139522F87F732A0000;test_user_name@horns_and_hooves.ru;Анна Викторовна;Анна Викторовна;;Анна Викторовна;CN=Анна Викторовна,OU=Декрет,OU=FL,DC=Рога и Копыта,DC=ru;;Мочалова;Декрет;Специалист бюджетно-аналитического отдела;test_user_name@horns_and_hooves.ru;;66048
01050000000000051500000007E53B2B782E9D139522F87F0A180000;test_user_name@horns_and_hooves.ru;Евгения Владимировна;Евгения Владимировна;CN=Ирина Федоровна,OU=Отдел разработки новых продуктов,OU=Департамент косметики и парфюмерии,OU=ОАО Рога и Копыта,OU=FL,DC=Рога и Копыта,DC=ru;Евгения Владимировна;CN=Евгения Владимировна,OU=Отдел производственного планирования,OU=Департамент косметики и парфюмерии,OU=ОАО Рога и Копыта,OU=FL,DC=Рога и Копыта,DC=ru;;Гранкина;производственного планирования;Ведущий специалист по планированию;test_user_name@horns_and_hooves.ru;+7 (000) 123-45-67;66048
